MA0679.1	MA0679.1_ONECUT1	ONECUT1
MA0680.1	MA0680.1_PAX7	PAX7
MA0681.1	MA0681.1_Phox2b	PHOX2B
MA0682.1	MA0682.1_Pitx1	PITX1
MA0683.1	MA0683.1_POU4F2	POU4F2
MA0684.1	MA0684.1_RUNX3	RUNX3
MA0685.1	MA0685.1_SP4	SP4
MA0686.1	MA0686.1_SPDEF	SPDEF
MA0687.1	MA0687.1_SPIC	SPIC
MA0688.1	MA0688.1_TBX2	TBX2
MA0689.1	MA0689.1_TBX20	TBX20
MA0690.1	MA0690.1_TBX21	TBX21
MA0691.1	MA0691.1_TFAP4	TFAP4
MA0692.1	MA0692.1_TFEB	TFEB
MA0693.2	MA0693.2_VDR	VDR
MA0694.1	MA0694.1_ZBTB7B	ZBTB7B
MA0695.1	MA0695.1_ZBTB7C	ZBTB7C
MA0696.1	MA0696.1_ZIC1	ZIC1
MA0697.1	MA0697.1_ZIC3	ZIC3
MA0698.1	MA0698.1_ZBTB18	ZBTB18
MA0699.1	MA0699.1_LBX2	LBX2
MA0700.1	MA0700.1_LHX2	LHX2
MA0701.1	MA0701.1_LHX9	LHX9
MA0702.1	MA0702.1_LMX1A	LMX1A
MA0703.1	MA0703.1_LMX1B	LMX1B
MA0704.1	MA0704.1_Lhx4	LHX4
MA0705.1	MA0705.1_Lhx8	LHX8
MA0706.1	MA0706.1_MEOX2	MEOX2
MA0707.1	MA0707.1_MNX1	MNX1
MA0708.1	MA0708.1_MSX2	MSX2
MA0709.1	MA0709.1_Msx3	VENTX
MA0710.1	MA0710.1_NOTO	NOTO
MA0711.1	MA0711.1_OTX1	OTX1
MA0712.1	MA0712.1_OTX2	OTX2
MA0713.1	MA0713.1_PHOX2A	PHOX2A
MA0714.1	MA0714.1_PITX3	PITX3
MA0715.1	MA0715.1_PROP1	PROP1
MA0716.1	MA0716.1_PRRX1	PRRX1
MA0717.1	MA0717.1_RAX2	RAX2
MA0718.1	MA0718.1_RAX	RAX
MA0719.1	MA0719.1_RHOXF1	RHOXF1
MA0720.1	MA0720.1_Shox2	SHOX2
MA0721.1	MA0721.1_UNCX	UNCX
MA0722.1	MA0722.1_VAX1	VAX1
MA0723.1	MA0723.1_VAX2	VAX2
MA0724.1	MA0724.1_VENTX	VENTX
MA0725.1	MA0725.1_VSX1	VSX1
MA0726.1	MA0726.1_VSX2	VSX2
MA0727.1	MA0727.1_NR3C2	NR3C2
MA0728.1	MA0728.1_Nr2f6_var.2	NR2F6
MA0729.1	MA0729.1_RARA	RARA
MA0730.1	MA0730.1_RARA_var.2	RARA
MA0731.1	MA0731.1_BCL6B	BCL6B
MA0732.1	MA0732.1_EGR3	EGR3
MA0733.1	MA0733.1_EGR4	EGR4
MA0734.1	MA0734.1_GLI2	GLI2
MA0735.1	MA0735.1_GLIS1	GLIS1
MA0736.1	MA0736.1_GLIS2	GLIS2
MA0737.1	MA0737.1_GLIS3	GLIS3
MA0738.1	MA0738.1_HIC2	HIC2
MA0739.1	MA0739.1_Hic1	HIC1
MA0740.1	MA0740.1_KLF14	KLF14
MA0741.1	MA0741.1_KLF16	KLF16
MA0742.1	MA0742.1_Klf12	KLF12
MA0743.1	MA0743.1_SCRT1	SCRT1
MA0744.1	MA0744.1_SCRT2	SCRT2
MA0745.1	MA0745.1_SNAI2	SNAI2
MA0746.1	MA0746.1_SP3	SP3
MA0747.1	MA0747.1_SP8	SP8
MA0748.1	MA0748.1_YY2	YY2
MA0749.1	MA0749.1_ZBED1	ZBED1
MA0750.2	MA0750.2_ZBTB7A	ZBTB7A
MA0751.1	MA0751.1_ZIC4	ZIC4
MA0752.1	MA0752.1_ZNF410	ZNF410
MA0753.1	MA0753.1_ZNF740	ZNF740
MA0754.1	MA0754.1_CUX1	CUX1
MA0755.1	MA0755.1_CUX2	CUX2
MA0756.1	MA0756.1_ONECUT2	ONECUT2
MA0757.1	MA0757.1_ONECUT3	ONECUT3
MA0758.1	MA0758.1_E2F7	E2F7
MA0759.1	MA0759.1_ELK3	ELK3
MA0760.1	MA0760.1_ERF	ERF
MA0761.1	MA0761.1_ETV1	ETV1
MA0762.1	MA0762.1_ETV2	ETV2
MA0763.1	MA0763.1_ETV3	ETV3
MA0764.1	MA0764.1_ETV4	ETV4
MA0765.1	MA0765.1_ETV5	ETV5
MA0766.1	MA0766.1_GATA5	GATA5
MA0767.1	MA0767.1_GCM2	GCM2
MA0768.1	MA0768.1_LEF1	LEF1
MA0769.1	MA0769.1_Tcf7	TCF7
MA0770.1	MA0770.1_HSF2	HSF2
MA0771.1	MA0771.1_HSF4	HSF4
MA0772.1	MA0772.1_IRF7	IRF7
MA0773.1	MA0773.1_MEF2D	MEF2D
